INDIVIDUALID,SCORE,TARGET
489601197,1160,1
665640603,1641,1
715609327,1155,1
612218979,1641,1
165816160,1155,1
610255499,1443,1
2163266805,1155,1
147302977,1315,1
1953522155,1315,1
1162291218,1823,1
51535389,1777,1
702606881,1801,1
1881320212,1448,1
96017143,1155,1
1175456908,1635,1
1903774511,1337,1
1945505714,1489,1
676822876,994,1
561910578,2089,1
180211944,1617,1
808895131,1641,1
1140609098,1641,1
2199455625,1155,1
612757328,1929,1
1348219667,1315,1
2121962049,1315,1
217822078,1174,1
160600144,1315,1
606678803,1000,1
2027739746,1635,1
806321245,1641,1
394491949,1155,1
1946731623,2271,1
1772610884,1959,1
65931378,1160,1
855173527,1334,1
2520514044,1641,1
1846067448,1801,1
1119876428,1641,1
2114251746,1155,1
238170355,994,1
1264138334,1801,1
1168379619,1801,1
171455995,1337,1
2144426724,1929,1
877058834,2263,1
141062690,1785,1
1742424760,1625,1
858403825,1641,1
67714915,1288,1
8149498,1641,1
2479679340,1641,1
2168952816,1315,1
2936183732,1315,1
502635398,1641,1
1922998431,1000,1
619530848,1603,1
193566643,1929,1
282024884,1929,1
82762259,1801,1
53601192,1288,1
66841184,1443,1
2704246148,1415,1
110710050,1929,1
29663026,1641,1
625550314,1315,1
2588476623,1801,1
1365901931,1443,1
310493001,1160,1
673098432,1149,1
587977401,1929,1
41188209,1975,1
1086109621,1000,1
1371219884,1795,1
860624853,1613,1
289011536,1801,1
2509836107,1641,1
1570768883,1160,1
617804837,1641,1
2809243760,2111,1
23214465,1489,1
1762679354,1801,1
1263684494,1497,1
445154264,1603,1
180021363,1182,1
2483272525,1641,1
592001125,1155,1
2201943532,1929,1
1938717244,1801,1
568880802,1160,1
98369331,1342,1
1262373745,1329,1
346493550,1155,1
50913595,1603,1
2280703663,1000,1
2288796850,1641,1
211102787,1641,1
1276116377,1929,1
2199455625,1155,1
1236610619,812,1
1938719077,1801,1
627622722,1337,1
51198054,2089,1
837727783,1084,1
697016604,1155,1
117875340,1823,1
260882736,1641,1
51391082,2089,1
320777897,1815,1
1946932773,1337,1
2166843376,1155,1
285678553,1823,1
400501704,1155,1
162909434,1603,1
132092747,1462,1
1261842039,1000,1
1018671732,1801,1
92799723,1801,1
1212479694,1315,1
92873555,1625,1
1042134695,1983,1
701171486,1641,1
765100305,967,1
2939189683,967,1
1228108304,1155,1
157029263,1453,1
881189964,1149,1
490108285,1815,1
829838109,1127,1
1120057755,1155,1
2008692422,1448,1
196180560,1155,1
163513629,1983,1
612218979,1641,1
765447309,1777,1
129228960,1155,1
1953522155,1315,1
2121962049,1315,1
612218979,1641,1
2423526583,1160,1
217822078,1174,1
665640603,1641,1
721295784,967,1
1057780794,1641,1
1348219667,1315,1
197488638,1329,1
727092257,1603,1
1623233911,1801,1
1253688414,1155,1
1959339185,1679,1
135933515,1443,1
147302977,1315,1
1225225060,812,1
1162291218,1823,1
1026759570,1315,1
715609327,1155,1
96017143,1155,1
561910578,2089,1
809051403,1160,1
2231349719,1793,1
1260976036,1443,1
134940472,1603,1
1029781618,1337,1
1087303398,1000,1
2494452415,1315,1
1862498355,1570,1
1218205936,1315,1
173727089,1613,1
125678399,1155,1
331021260,1329,1
571537629,1641,1
399588602,1497,1
2585831278,1497,1
132105428,2089,1
593032181,1155,1
603787962,1641,1
2487889637,1337,1
1945505714,1489,1
676822876,994,1
1227100544,1304,1
702606881,1801,1
1881320212,1448,1
1958560109,1155,1
1140609098,1641,1
2048163364,1000,1
180211944,1617,1
1173528661,1155,1
1347344599,1641,1
2335173699,1453,1
207029413,1155,1
679726833,1448,1
92071856,1155,1
1000155938,1801,1
54965744,1801,1
280876591,1155,1
108156534,1443,1
109328547,1443,1
2785832352,1160,1
1937127579,1337,1
1152263735,1288,1
562988229,1155,1
2218887748,1337,1
397085849,1625,1
161337233,1315,1
721295784,967,1
442509097,1443,1
164473984,1777,1
2476378132,1315,1
1845012583,1155,1
1828849419,1929,1
2419426651,1641,1
38907631,1641,1
2067710403,1315,1
808895131,1641,1
1991768104,1630,1
1901649173,1641,1
70613383,1929,1
1781715008,1155,1
2042150167,1160,1
2399665,1929,1
110968398,1929,1
829928818,1641,1
805274888,1777,1
761916736,1315,1
108663220,1334,1
2488164071,1641,1
2166843376,1155,1
246225603,1315,1
109144153,1815,1
703630002,1155,1
788914851,1315,1
610255499,1443,1
2502941400,1334,1
210734416,1334,1
90442530,1443,1
803851057,812,1
1227100544,1304,1
1073518422,1337,1
1128435012,1443,1
1904027321,2263,1
1197658323,1000,1
804994842,1823,1
1143172561,1337,1
945461098,1489,1
2316625504,1160,1
1746048373,1000,1
5608291,1448,1
29553360,1801,1
591924735,1779,1
1018671732,1801,1
612218979,1641,1
1945505714,1489,1
217822078,1174,1
148123986,1929,1
197488638,1329,1
1253688414,1155,1
850325477,1768,1
807221803,1155,1
475847268,1160,1
1026759570,1315,1
147302977,1315,1
1227100544,1304,1
1958560109,1155,1
51832804,1603,1
1956536606,1815,1
593951364,967,1
2397714447,1155,1
2031369719,1641,1
2288920584,1641,1
826425424,1443,1
588431390,1497,1
110135720,1641,1
2534401807,1807,1
860447666,1983,1
1307833295,1641,1
155399789,1160,1
1301336411,1635,1
2516181004,1641,1
391446100,1641,1
1921111258,1641,1
2568088430,1342,1
132241162,1334,1
830726814,1511,1
2223801858,1929,1
180794695,1801,1
1370928923,1443,1
117124171,967,1
1130870911,1337,1
1227887987,2084,1
1825691403,1801,1
1346276504,1127,1
283726302,1329,1
2423526583,1160,1
665640603,1641,1
715609327,1155,1
1341420730,1801,1
1927918288,1337,1
59681107,1443,1
145814112,1443,1
868749451,1160,1
1168657569,1801,1
2020529399,1315,1
1916230231,1801,1
2149474203,1337,1
197314124,2089,1
240387157,1901,1
59072503,1443,1
1670347623,1337,1
2310459253,2103,1
186591852,1337,1
165910772,1815,1
199443868,1155,1
754703543,1641,1
17801929,1315,1
2289421663,1617,1
149461502,1625,1
924295644,1329,1
837145296,1641,1
7659195,2089,1
2473538704,1000,1
53554236,2089,1
729298647,1801,1
2475236122,1983,1
155075428,1635,1
1151772397,1795,1
6053989,1155,1
1990174682,2089,1
217801185,1315,1
110281935,1625,1
1780955430,1155,1
136005588,1625,1
141016065,1337,1
1231699117,1000,1
621638829,1597,1
1945564523,1155,1
392990040,1329,1
195856128,1443,1
51535389,1777,1
1150135647,1453,1
49144621,2089,1
1076128027,1641,1
1371219904,1613,1
1076128027,1155,1
1671763665,1453,1
91965837,1497,1
2803457632,1983,1
88538079,2089,1
51304418,1929,1
1959339185,1679,1
308654368,1000,1
2130825450,1288,1
674379659,1309,1
94559020,1337,1
1239190587,1449,1
2220181104,1801,1
1252819559,1315,1
407284054,1641,1
82717594,1497,1
76899114,1288,1
393097985,1155,1
2969807058,1155,1
863365059,1801,1
56264021,1603,1
399028645,1497,1
182901446,1641,1
344818713,1155,1
92130216,1337,1
2509117414,1801,1
568467545,1815,1
1370174027,1613,1
182427506,1801,1
169299110,2263,1
344625484,1315,1
701136349,1000,1
2112744183,1155,1
193606082,1160,1
53786654,1337,1
388222402,1497,1
1240387560,1625,1
146649396,2263,1
2420768766,2089,1
736074825,1625,1
709843283,1641,1
60627511,1929,1
2963283539,1801,1
553606546,1288,1
2038629233,1315,1
2974967807,1315,1
1267438571,1155,1
50791930,1288,1
1795750497,1801,1
870192525,1823,1
62250869,1635,1
55588457,1929,1
1127985659,1641,1
963187784,1801,1
171011396,1799,1
183939597,1929,1
190947668,1801,1
94041744,1603,1
1852728683,1929,1
341228564,1315,1
135353177,1725,1
2395004651,1155,1
2068202581,1337,1
857913293,812,1
2299402535,1334,1
173336812,1437,1
203322160,1448,1
1805581058,1929,1
2172191187,1155,1
155388946,1337,1
212660097,1815,1
1940370739,1309,0
2222624510,1641,0
1223901968,1519,0
2397517988,1309,0
109779513,1155,0
2963255519,1127,0
729622634,967,0
2771018719,972,0
905970580,1174,0
159994420,1443,0
497978622,951,0
2398887317,1155,0
2472495982,1127,0
1744883875,1155,0
2514794291,1489,0
118601955,1983,0
1951063682,1127,0
193285554,967,0
2400168164,1068,0
2973193131,1000,0
2508615412,1329,0
2399854944,1000,0
415056466,1174,0
72050478,684,0
1903661466,1801,0
203801534,1437,0
200117284,1641,0
2423555458,1497,0
667582855,1155,0
1196731656,1174,0
690040384,1315,0
1937422671,735,0
54477213,1155,0
2134426605,1453,0
2567373829,1310,0
2095947217,999,0
1150912994,908,0
1848779923,956,0
2162137998,1155,0
